mouseover,label,lat,long,icon,color
Music city,Nashville,36.174465,-86.76796,cloud,green
Belfast,Belfast,54.5973,-5.9301,cloud,green
Charlotte,Charlotte,35.2272086,-80.8430827,cloud,green
Chicago,Chicago,41.8755616,-87.6244212,cloud,green
New York,New York,40.7127281,-74.0060152,cloud,green
Orlando,Orlando,28.5421109,-81.3790304,cloud,green
Los Angeles,Los Angeles,34.0536909,-118.242766,cloud,green
San Fransico,San Fransico,37.7749,-122.4194,cloud,green
London,London,51.5074456,-0.1277653,cloud,green
Dublin,Dublin,53.3493795,-6.2605593,cloud,green
Copenhagen,Copenhagen,55.6867243,12.5700724,cloud,green
Amsterdam,Amsterdam,52.3730796,4.8924534,cloud,green
Paris,Paris,48.8588897,2.3200410217200766,cloud,green
Barcelona,Barcelona,41.3828939,2.1774322,cloud,green
Lisbon,Lisbon,38.7077507,-9.1365919,cloud,green
Munich,Munich,48.1371079,11.5753822,cloud,green
Hamburg,Hamburg,53.550341,10.000654,cloud,green
Bremen,Bremen,53.0758196,8.8071646,cloud,green
Stockholm,Stockholm,59.3251172,18.0710935,cloud,green
Uppsalla,Uppsalla,59.8586,17.6389,cloud,green
Prague,Prague,50.0596288,14.446459273258009,cloud,green
Geneva,Geneva,46.2047169,6.1423106290939335,cloud,green
Florence,Florence,43.7697955,11.2556404,cloud,green
Rome,Rome,41.8933203,12.4829321,cloud,green
Naples,Naples,40.8358846,14.2487679,cloud,green
Budapest,Budapest,47.4978789,19.0402383,cloud,green
Zagreb,Zagreb,45.84264135,15.962231476593626,cloud,green
Split,Split,43.5116383,16.4399659,cloud,green
Dubrovnik,Dubrovnik,42.6491029,18.0939501,cloud,green
Tokyo,Tokyo,35.6821936,139.762221,cloud,green
